IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
118.163.175.197,23555,true,KHH,Asia Pacific,Kaohsiung City,75 ms,20775 kB/s
211.72.156.11,23555,true,KHH,Asia Pacific,Kaohsiung City,74 ms,15505 kB/s
34.146.166.62,51131,true,NRT,Asia Pacific,Tokyo,104 ms,15093 kB/s
59.125.68.206,23555,true,KHH,Asia Pacific,Kaohsiung City,84 ms,12659 kB/s
60.249.89.74,23555,true,KHH,Asia Pacific,Kaohsiung City,68 ms,9623 kB/s
154.17.16.155,38548,true,LAX,North America,Los Angeles,169 ms,9521 kB/s
162.159.142.252,2096,true,SJC,North America,San Jose,172 ms,9131 kB/s
38.47.98.53,4379,true,KIX,Asia Pacific,Osaka,91 ms,8967 kB/s
38.147.188.171,8005,true,EWR,North America,Newark,78 ms,8703 kB/s
203.69.248.40,27381,true,KHH,Asia Pacific,Kaohsiung City,87 ms,8554 kB/s
20.205.131.206,54043,true,HKG,Asia Pacific,Hong Kong,142 ms,6840 kB/s
162.159.58.157,2053,true,SJC,North America,San Jose,170 ms,4158 kB/s
47.243.74.220,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,3525 kB/s
104.20.27.224,2096,true,IAD,North America,Ashburn,238 ms,3438 kB/s
170.64.165.229,20443,true,SYD,Oceania,Sydney,321 ms,3410 kB/s
43.159.43.107,34237,true,SIN,Asia Pacific,Singapore,99 ms,3249 kB/s
119.28.113.40,34237,true,SIN,Asia Pacific,Singapore,96 ms,3146 kB/s
43.134.181.60,53417,true,SIN,Asia Pacific,Singapore,99 ms,2957 kB/s
198.41.212.2,2053,true,IAD,North America,Ashburn,242 ms,2667 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,279 ms,2357 kB/s
43.159.55.220,34237,true,SIN,Asia Pacific,Singapore,90 ms,1452 kB/s
38.180.45.222,2053,true,TLL,Europe,Tallinn,259 ms,1039 kB/s
35.201.236.40,10501,true,TPE,Asia Pacific,Taipei,83 ms,838 kB/s
140.238.20.223,35913,true,NRT,Asia Pacific,Tokyo,69 ms,780 kB/s
8.210.142.146,12346,true,HKG,Asia Pacific,Hong Kong,60 ms,652 kB/s
167.172.40.90,443,true,AMS,Europe,Amsterdam,275 ms,649 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,489 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,168 ms,409 kB/s
167.114.153.39,8443,true,YYZ,North America,Toronto,295 ms,374 kB/s
75.2.32.4,443,true,IAD,North America,Ashburn,173 ms,275 kB/s
45.78.61.49,10484,true,KIX,Asia Pacific,Osaka,74 ms,272 kB/s
43.134.187.193,8989,true,SIN,Asia Pacific,Singapore,96 ms,220 kB/s
104.20.27.133,2096,true,IAD,North America,Ashburn,247 ms,192 kB/s
172.64.154.219,8443,true,HKG,Asia Pacific,Hong Kong,309 ms,179 kB/s
52.49.41.80,2053,true,DUB,Europe,Dublin,177 ms,176 kB/s
43.156.143.198,40809,true,SIN,Asia Pacific,Singapore,104 ms,137 kB/s
54.194.162.247,443,true,DUB,Europe,Dublin,205 ms,86 kB/s
112.120.250.175,44333,true,HKG,Asia Pacific,Hong Kong,128 ms,49 kB/s
172.84.92.108,42304,true,NRT,Asia Pacific,Tokyo,139 ms,45 kB/s
146.56.37.60,20017,true,SEA,North America,Seattle,70 ms,45 kB/s
185.114.72.67,443,true,MAD,Europe,Madrid,264 ms,33 kB/s
104.40.244.228,443,true,AMS,Europe,Amsterdam,262 ms,22 kB/s
119.28.189.227,32079,true,HKG,Asia Pacific,Hong Kong,126 ms,13 kB/s
198.23.223.178,2053,true,BUF,North America,Buffalo,251 ms,12 kB/s
172.84.92.152,58723,true,NRT,Asia Pacific,Tokyo,157 ms,12 kB/s
172.84.92.174,8526,true,NRT,Asia Pacific,Tokyo,570 ms,3 kB/s
172.64.154.218,8443,true,HKG,Asia Pacific,Hong Kong,309 ms,0 kB/s
